Handle,Title,Type,Tags,description,Fabric,Embroidery,Craft,Fit,Delivery,combined
mehwish-lehenga-set-3331,Mehwish Lehenga Set,Lehenga Set,"Cocktail Party, Couture, DLVRY 4-6 Weeks, Engagement, Festive, Fitted, Not On Sale, Nur, Party Wear, Pure Silk Organza, Reception, Rose Pink","This exquisite rose pink lehenga set is a testament to timeless elegance and craftsmanship. Crafted from pure silk organza, it exudes sophistication and charm. The incut blouse with its deep V-neckline is adorned with crystal tassels at the hemline, adding a hint of sparkle and allure.

Paired with a matching 24 kali lehenga and a dupatta, the ensemble features intricate patri work and fine cotton threads’ floral jaal, further embellished with sequins, pearls, and silver zari. This blend of traditional embroidery and contemporary design showcases impeccable craftsmanship, making it a perfect choice for any special occasion.",Pure Silk Organza,"Patri work with off-white cotton thread, enhanced with silver sequins, pearls and silver zari.","Patri Work, Cotton Thread Embroidery, Bead Work, Sequin Embroidery",Fitted,4-6 Weeks,"{'Handle': 'mehwish-lehenga-set-3331', 'Type': 'Lehenga Set', 'Title': 'Mehwish Lehenga Set', 'description': 'This exquisite rose pink lehenga set is a testament to timeless elegance and craftsmanship. Crafted from pure silk organza, it exudes sophistication and charm. The incut blouse with its deep V-neckline is adorned with crystal tassels at the hemline, adding a hint of sparkle and allure.\n\nPaired with a matching 24 kali lehenga and a dupatta, the ensemble features intricate patri work and fine cotton threads’ floral jaal, further embellished with sequins, pearls, and silver zari. This blend of traditional embroidery and contemporary design showcases impeccable craftsmanship, making it a perfect choice for any special occasion.', 'Fabric': 'Pure Silk Organza', 'Embroidery': 'Patri work with off-white cotton thread, enhanced with silver sequins, pearls and silver zari.', 'Craft': 'Patri Work, Cotton Thread Embroidery, Bead Work, Sequin Embroidery', 'Fit': 'Fitted', 'Delivery': '4-6 Weeks'}"
hana-long-kurta-set-3330,Hana Long Kurta Set,Long Kurta Set,"Cocktail Party, Comfortable Fit, Couture, DLVRY 6-8 Weeks, Festive, Haldi, Mehendi, Not On Sale, Nur, Pink, Pure Lycra Crepe, Pure Silk Georgette, Pure Silk Organza, Reception","An exquisite soft pink long kurta set in pure silk georgette. The kurta features a touch neck with a slit, and three-quarter sleeves, enhancing its graceful silhouette. Adorned with tonal floral applique work, the kurta is further embellished with intricate hand embroidery using silver zari, silver sequins, pearl and Swarovski crystals, arranged in a sophisticated linear pattern. Paired with a matching churidhar crafted from pure lycra crepe, ensures both comfort and style. Complementing the kurta is a matching pure silk organza dupatta, featuring beautiful hand embroidery using silver zari, silver sequins, and pearls. The dupatta is finished with delicate tassels, adding a refined touch to this elegant ensemble, perfect for any special occasion.","Pure Silk Georgette, Pure Lycra Crepe, Pure Silk Organza","Applique work with tonal silk threads and silver zari hand work. Further enhanced with sequins, pearls and Swarovski crystals.","Appliqué Work, Sequin Embroidery, Zari Work, Bead Work, Pearl Work",Comfortable Fit,6-8 Weeks,"{'Handle': 'hana-long-kurta-set-3330', 'Type': 'Long Kurta Set', 'Title': 'Hana Long Kurta Set', 'description': 'An exquisite soft pink long kurta set in pure silk georgette. The kurta features a touch neck with a slit, and three-quarter sleeves, enhancing its graceful silhouette. Adorned with tonal floral applique work, the kurta is further embellished with intricate hand embroidery using silver zari, silver sequins, pearl and Swarovski crystals, arranged in a sophisticated linear pattern. Paired with a matching churidhar crafted from pure lycra crepe, ensures both comfort and style. Complementing the kurta is a matching pure silk organza dupatta, featuring beautiful hand embroidery using silver zari, silver sequins, and pearls. The dupatta is finished with delicate tassels, adding a refined touch to this elegant ensemble, perfect for any special occasion.', 'Fabric': 'Pure Silk Georgette, Pure Lycra Crepe, Pure Silk Organza', 'Embroidery': 'Applique work with tonal silk threads and silver zari hand work. Further enhanced with sequins, pearls and Swarovski crystals.', 'Craft': 'Appliqué Work, Sequin Embroidery, Zari Work, Bead Work, Pearl Work', 'Fit': 'Comfortable Fit', 'Delivery': '6-8 Weeks'}"
rida-short-kurta-set-3328,Rida Short Kurta Set,Short Kurta Set,"Beige, Comfortable Fit, DLVRY 4-6 Weeks, Festive, Haldi, Handwoven Cotton Tissue, Lime Green, Luxury Pret, Mehendi, Not On Sale, Nur, Pure Silk Organza, Sagan","Make a style statement with our sophisticated beige handwoven cotton tissue short kurta set. Featuring a deep V-neckline and three-quarter bell sleeves, it pairs seamlessly with matching pants. Adorned with exquisite multi-colour silk thread embroidery outlined with gold dori and enhanced with sequins, this ensemble exudes glamour. Complete your look with the matching pure silk organza dupatta, featuring matching embroidery. Finished with lime green pure organza border with scalloped edges highlighted with sequins, it adds a luxurious touch to your ensemble.","Handwoven Cotton Tissue, Pure Silk Organza",Multi-colour silk thread embroidery outlined with gold dori.,"Silk Thread Embroidery, Dori Embroidery",Comfortable Fit,4-6 Weeks,"{'Handle': 'rida-short-kurta-set-3328', 'Type': 'Short Kurta Set', 'Title': 'Rida Short Kurta Set', 'description': 'Make a style statement with our sophisticated beige handwoven cotton tissue short kurta set. Featuring a deep V-neckline and three-quarter bell sleeves, it pairs seamlessly with matching pants. Adorned with exquisite multi-colour silk thread embroidery outlined with gold dori and enhanced with sequins, this ensemble exudes glamour. Complete your look with the matching pure silk organza dupatta, featuring matching embroidery. Finished with lime green pure organza border with scalloped edges highlighted with sequins, it adds a luxurious touch to your ensemble.', 'Fabric': 'Handwoven Cotton Tissue, Pure Silk Organza', 'Embroidery': 'Multi-colour silk thread embroidery outlined with gold dori.', 'Craft': 'Silk Thread Embroidery, Dori Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-6 Weeks'}"
hiba-short-kurta-set-3327,Hiba Short Kurta Set,Short Kurta Set,"Blue, Comfortable Fit, DLVRY 4-6 Weeks, Festive, Haldi, Handwoven Cotton Tissue, Luxury Pret, Mehendi, Not On Sale, Nur, Off-White, Pure Silk Organza, Sagan","Elevate your style with our mesmerizing blue handwoven cotton tissue short kurta set. With a deep V-neckline and three-quarter bell sleeves, the kurta exudes elegance and charm. Paired with matching pants, the kurta set features multi-colour silk thread embroidery outlined with silver dori, adding sophistication. Complete your ensemble with the matching pure silk organza dupatta, adorned with multi-colour silk thread motifs outlined with silver dori. The off-white pure silk organza border with scalloped edges on the dupatta, highlighted with sequins, adds a dazzling finish to your look.","Handwoven Cotton Tissue, Pure Silk Organza",Multi-colour silk thread embroidery outlined with silver dori.,"Silk Thread Embroidery, Dori Embroidery",Comfortable Fit,4-6 Weeks,"{'Handle': 'hiba-short-kurta-set-3327', 'Type': 'Short Kurta Set', 'Title': 'Hiba Short Kurta Set', 'description': 'Elevate your style with our mesmerizing blue handwoven cotton tissue short kurta set. With a deep V-neckline and three-quarter bell sleeves, the kurta exudes elegance and charm. Paired with matching pants, the kurta set features multi-colour silk thread embroidery outlined with silver dori, adding sophistication. Complete your ensemble with the matching pure silk organza dupatta, adorned with multi-colour silk thread motifs outlined with silver dori. The off-white pure silk organza border with scalloped edges on the dupatta, highlighted with sequins, adds a dazzling finish to your look.', 'Fabric': 'Handwoven Cotton Tissue, Pure Silk Organza', 'Embroidery': 'Multi-colour silk thread embroidery outlined with silver dori.', 'Craft': 'Silk Thread Embroidery, Dori Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-6 Weeks'}"
aiza-long-kurta-set-3322,Aiza Long Kurta Set,Long Kurta Set,"Comfortable Fit, DLVRY 4-6 Weeks, Festive, Haldi, Handwoven Cotton Tissue, Handwoven Silk Chanderi, Lime Green, Luxury Pret, Mehendi, Not On Sale, Nur, Off-White, Sagan","Step into elegance with our exquisite lime green handwoven silk chanderi ensemble. This long kurta boasts a chic slit neckline, full sleeves, and is elegantly paired with matching straight pants. Adorned with intricate embroidery in beige silk thread, accented with gold zari, sequins and pearls, it exudes luxury and sophistication. Complete your look with a matching handwoven cotton tissue dupatta featuring delicate motifs and a border, embellished with gold zari, sequins, and pearls, for a regal finish.","Handwoven Silk Chanderi, Handwoven Cotton Tissue","Off-white silk thread embroidery outlined with gold zari, and highlighted using sequins and pearls.","Silk Thread Embroidery, Zari Work, Sequin Embroidery, Pearl Work",Comfortable Fit,4-6 Weeks,"{'Handle': 'aiza-long-kurta-set-3322', 'Type': 'Long Kurta Set', 'Title': 'Aiza Long Kurta Set', 'description': 'Step into elegance with our exquisite lime green handwoven silk chanderi ensemble. This long kurta boasts a chic slit neckline, full sleeves, and is elegantly paired with matching straight pants. Adorned with intricate embroidery in beige silk thread, accented with gold zari, sequins and pearls, it exudes luxury and sophistication. Complete your look with a matching handwoven cotton tissue dupatta featuring delicate motifs and a border, embellished with gold zari, sequins, and pearls, for a regal finish.', 'Fabric': 'Handwoven Silk Chanderi, Handwoven Cotton Tissue', 'Embroidery': 'Off-white silk thread embroidery outlined with gold zari, and highlighted using sequins and pearls.', 'Craft': 'Silk Thread Embroidery, Zari Work, Sequin Embroidery, Pearl Work', 'Fit': 'Comfortable Fit', 'Delivery': '4-6 Weeks'}"
afni-long-kurta-set-3321,Afni Long Kurta Set,Long Kurta Set,"Comfortable Fit, DLVRY 4-6 Weeks, Festive, Haldi, Handwoven Cotton Tissue, Handwoven Silk Chanderi, Lime Green, Luxury Pret, Mehendi, Not On Sale, Nur, Off-White, Sagan","Elevate your wardrobe with our exquisite handwoven silk chanderi long kurta in elegant off-white. Featuring a touch neckline with a slit, and full sleeves, it pairs seamlessly with matching straight pants. The kurta is adorned with lime green silk thread embroidery, silver sequins, and pearls, adding elegance and glamour. A co-ordinating handwoven cotton tissue dupatta with intricate lime green silk thread motifs, silver sequins, and pearls completes this sophisticated and graceful ensemble.","Handwoven Silk Chanderi, Handwoven Cotton Tissue","Lime green silk thread embroidery outlined with silver zari, and highlighted using sequins and pearls.","Silk Thread Embroidery, Zari Work, Sequin Embroidery, Pearl Work",Comfortable Fit,4-6 Weeks,"{'Handle': 'afni-long-kurta-set-3321', 'Type': 'Long Kurta Set', 'Title': 'Afni Long Kurta Set', 'description': 'Elevate your wardrobe with our exquisite handwoven silk chanderi long kurta in elegant off-white. Featuring a touch neckline with a slit, and full sleeves, it pairs seamlessly with matching straight pants. The kurta is adorned with lime green silk thread embroidery, silver sequins, and pearls, adding elegance and glamour. A co-ordinating handwoven cotton tissue dupatta with intricate lime green silk thread motifs, silver sequins, and pearls completes this sophisticated and graceful ensemble.', 'Fabric': 'Handwoven Silk Chanderi, Handwoven Cotton Tissue', 'Embroidery': 'Lime green silk thread embroidery outlined with silver zari, and highlighted using sequins and pearls.', 'Craft': 'Silk Thread Embroidery, Zari Work, Sequin Embroidery, Pearl Work', 'Fit': 'Comfortable Fit', 'Delivery': '4-6 Weeks'}"
isbah-short-kurta-set-3320,Isbah Short Kurta Set,Short Kurta Set,"Comfortable Fit, DLVRY 4-6 Weeks, Festive, Haldi, Handwoven Cotton Tissue, Luxury Pret, Mehendi, Not On Sale, Nur, Pure Silk Organza, Rose Pink, Sagan","Step out in style with our handwoven cotton tissue short kurta in a captivating rose pink hue. Featuring a sophisticated touch neck with a slit and full sleeves, it pairs seamlessly with our handwoven cotton tissue Pakistani salwar in the same delightful hue. The kurta is beautifully enhanced with tonal silk thread embroidery, accented with gold sequins and pearls for a touch of luxury. Complete your look with a matching pure silk organza dupatta, adorned with intricate silk thread motifs and a detailed border, crafting an ensemble that radiates grace and sophistication.","Handwoven Cotton Tissue, Pure Silk Organza","Applique work with tonal silk threads and silver zari hand work. Further enhanced with sequins, pearls and Swarovski crystals.","Silk thread embroidery, Sequin Embroidery, Pearl Work",Comfortable Fit,4-6 Weeks,"{'Handle': 'isbah-short-kurta-set-3320', 'Type': 'Short Kurta Set', 'Title': 'Isbah Short Kurta Set', 'description': 'Step out in style with our handwoven cotton tissue short kurta in a captivating rose pink hue. Featuring a sophisticated touch neck with a slit and full sleeves, it pairs seamlessly with our handwoven cotton tissue Pakistani salwar in the same delightful hue. The kurta is beautifully enhanced with tonal silk thread embroidery, accented with gold sequins and pearls for a touch of luxury. Complete your look with a matching pure silk organza dupatta, adorned with intricate silk thread motifs and a detailed border, crafting an ensemble that radiates grace and sophistication.', 'Fabric': 'Handwoven Cotton Tissue, Pure Silk Organza', 'Embroidery': 'Applique work with tonal silk threads and silver zari hand work. Further enhanced with sequins, pearls and Swarovski crystals.', 'Craft': 'Silk thread embroidery, Sequin Embroidery, Pearl Work', 'Fit': 'Comfortable Fit', 'Delivery': '4-6 Weeks'}"
zakia-short-kurta-set-3319,Zakia Short Kurta Set,Short Kurta Set,"Beige, Comfortable Fit, DLVRY 4-6 Weeks, Festive, Haldi, Handwoven Cotton Tissue, Luxury Pret, Mehendi, Not On Sale, Nur, Pure Silk Organza, Sagan","Indulge in the epitome of sophistication with our handwoven cotton tissue short kurta set in soothing beige. Featuring a sophisticated touch neck with a slit and full sleeves. Embroidered delicately with silk threads in tonal hues and embellished with gold sequins and pearls, it exudes timeless elegance. Paired with a matching Pakistani salwar and a pure silk organza dupatta featuring intricate motifs, this ensemble promises to elevate your style with effortless grace and charm.","Handwoven Cotton Tissue, Pure Silk Organza","Beige silk thread embroidery, highlighted with sequins and pearls.","Silk thread embroidery, Sequin Embroidery, Pearl Work",Comfortable Fit,4-6 Weeks,"{'Handle': 'zakia-short-kurta-set-3319', 'Type': 'Short Kurta Set', 'Title': 'Zakia Short Kurta Set', 'description': 'Indulge in the epitome of sophistication with our handwoven cotton tissue short kurta set in soothing beige. Featuring a sophisticated touch neck with a slit and full sleeves. Embroidered delicately with silk threads in tonal hues and embellished with gold sequins and pearls, it exudes timeless elegance. Paired with a matching Pakistani salwar and a pure silk organza dupatta featuring intricate motifs, this ensemble promises to elevate your style with effortless grace and charm.', 'Fabric': 'Handwoven Cotton Tissue, Pure Silk Organza', 'Embroidery': 'Beige silk thread embroidery, highlighted with sequins and pearls.', 'Craft': 'Silk thread embroidery, Sequin Embroidery, Pearl Work', 'Fit': 'Comfortable Fit', 'Delivery': '4-6 Weeks'}"
jafna-co-ordinate-set-3382,Jafna Co-Ordinate Set,Co-Ordinate Set,"Brunch, DLVRY 6-8 Weeks, Fitted, Luxury Pret, Not On Sale, Nur, Pink, Pure Flat Chiffon, Pure Satin Jacquard, Pure Silk Satin, Resort Wear, Vacation Wear","Elevate your ensemble with this graceful co-ordinate set in pink pure silk satin and pure satin jacquard. The top features a slit-open touch neck, kimono sleeves, and delicate applique work on the yoke outlined with beige silk thread for added elegance. Paired with pink pure silk satin straight-fit pants, the ensemble exudes sophistication. Complete with pure flat chiffon scarf in an ombre blend of pink and light pink, adorned with lace work and tassles at the edges, for a delicate and ethereal finishing touch.","Pure Satin Jacquard, Pure Silk Satin, Pure Flat Chiffon","Applique work with off-white silk threads, and enhanced with cotton lace.","Silk Thread Embroidery, Appliqué Work, Lace Work",Fitted,6-8 Weeks,"{'Handle': 'jafna-co-ordinate-set-3382', 'Type': 'Co-Ordinate Set', 'Title': 'Jafna Co-Ordinate Set', 'description': 'Elevate your ensemble with this graceful co-ordinate set in pink pure silk satin and pure satin jacquard. The top features a slit-open touch neck, kimono sleeves, and delicate applique work on the yoke outlined with beige silk thread for added elegance. Paired with pink pure silk satin straight-fit pants, the ensemble exudes sophistication. Complete with pure flat chiffon scarf in an ombre blend of pink and light pink, adorned with lace work and tassles at the edges, for a delicate and ethereal finishing touch.', 'Fabric': 'Pure Satin Jacquard, Pure Silk Satin, Pure Flat Chiffon', 'Embroidery': 'Applique work with off-white silk threads, and enhanced with cotton lace.', 'Craft': 'Silk Thread Embroidery, Appliqué Work, Lace Work', 'Fit': 'Fitted', 'Delivery': '6-8 Weeks'}"
aafa-co-ordinate-set-3381,Aafa Co-Ordinate Set,Co-Ordinate Set,"Beige, Brunch, DLVRY 6-8 Weeks, Fitted, Luxury Pret, Not On Sale, Nur, Pure Flat Chiffon, Pure Satin Jacquard, Pure Silk Satin, Resort Wear, Vacation Wear","Elevate your style with this exquisite co-ordinate set in a sophisticated beige hue, crafted from luxurious pure silk satin and pure satin jacquard. The shirt, featuring a band collar neck and a front-open design with yoke and gathers, exudes elegance and flair. Embellished full sleeves of pure satin jacquard add a luxurious contrast, while cutwork detailing outlined with beige silk thread adds intricate charm. Paired with straight-fit pants in beige pure satin jacquard, the ensemble offers a harmonious and co-ordinated look. Complete with pure flat chiffon scarf in an ombre blend of off-white and beige, adorned with embroidered flowers at the edge, for a graceful finishing touch.","Pure Silk Satin, Pure Satin Jacquard, Pure Flat Chiffon",Off-white silk threadwork and eyelet embroidery.,"Eyelet Embroidery, Silk Thread Embroidery",Fitted,6-8 Weeks,"{'Handle': 'aafa-co-ordinate-set-3381', 'Type': 'Co-Ordinate Set', 'Title': 'Aafa Co-Ordinate Set', 'description': 'Elevate your style with this exquisite co-ordinate set in a sophisticated beige hue, crafted from luxurious pure silk satin and pure satin jacquard. The shirt, featuring a band collar neck and a front-open design with yoke and gathers, exudes elegance and flair. Embellished full sleeves of pure satin jacquard add a luxurious contrast, while cutwork detailing outlined with beige silk thread adds intricate charm. Paired with straight-fit pants in beige pure satin jacquard, the ensemble offers a harmonious and co-ordinated look. Complete with pure flat chiffon scarf in an ombre blend of off-white and beige, adorned with embroidered flowers at the edge, for a graceful finishing touch.', 'Fabric': 'Pure Silk Satin, Pure Satin Jacquard, Pure Flat Chiffon', 'Embroidery': 'Off-white silk threadwork and eyelet embroidery.', 'Craft': 'Eyelet Embroidery, Silk Thread Embroidery', 'Fit': 'Fitted', 'Delivery': '6-8 Weeks'}"
afifa-saree-set-3379,Afifa Saree Set,Saree Set,"Blue, Couture, DLVRY 6-8 Weeks, Engagement, Fitted, Handwoven Cotton Tissue, Not On Sale, Nur, Rawsilk, Reception, Sagan, Wedding","Indulge in the regal elegance of our blue handwoven cotton tissue saree, adorned with exquisite light gold metal pitta work in intricate floral patterns. A gold border and zari accents add opulence, while light gold sequins enhance its allure.

Pair this enchanting saree with our stylish sleeveless blouse in matching blue handwoven raw silk. Featuring a deep neckline, the blouse is adorned with intricate floral embroidery in beige and soft pink silk threads, along with gold zari, sequins, and beads, adding glamour and sophistication.","Handwoven Cotton Tissue, Rawsilk","Pitta work, beige and peach cotton thread embroidery, enhanced with sequins and pearls.","Pitta Work, Zari Work, Sequin Embroidery",Fitted,6-8 Weeks,"{'Handle': 'afifa-saree-set-3379', 'Type': 'Saree Set', 'Title': 'Afifa Saree Set', 'description': 'Indulge in the regal elegance of our blue handwoven cotton tissue saree, adorned with exquisite light gold metal pitta work in intricate floral patterns. A gold border and zari accents add opulence, while light gold sequins enhance its allure.\n\nPair this enchanting saree with our stylish sleeveless blouse in matching blue handwoven raw silk. Featuring a deep neckline, the blouse is adorned with intricate floral embroidery in beige and soft pink silk threads, along with gold zari, sequins, and beads, adding glamour and sophistication.', 'Fabric': 'Handwoven Cotton Tissue, Rawsilk', 'Embroidery': 'Pitta work, beige and peach cotton thread embroidery, enhanced with sequins and pearls.', 'Craft': 'Pitta Work, Zari Work, Sequin Embroidery', 'Fit': 'Fitted', 'Delivery': '6-8 Weeks'}"
fabia-saree-set-3378,Fabia Saree Set,Saree Set,"Couture, DLVRY 6-8 Weeks, Engagement, Fitted, Handwoven Cotton Tissue, Not On Sale, Nur, Off-White, Pure Silk Organza, Reception, Sagan, Wedding","Elevate your style with our off-white pure silk organza saree, adorned with intricate hand embroidered floral motifs using dull gold sequins, zari, and pearls. The delicately scattered floral motifs and a gold-dori border add opulence, while crystal tassels enhance its allure.

Pair this stunning saree with a stylish front neckline blouse in matching handwoven cotton tissue. Featuring a deep back neckline with a charming bow design and the same hand embroidery, this ensemble exudes grace and sophistication.","Pure Silk Organza, Handwoven Cotton Tissue",Sequin embroidery and gold zari flowers ehanced with pearls. The saree has a dori border with a pallu enhanced using Swarovski crystals.,"Sequin Embroidery, Zari Work, Pearl Work",Fitted,6-8 Weeks,"{'Handle': 'fabia-saree-set-3378', 'Type': 'Saree Set', 'Title': 'Fabia Saree Set', 'description': 'Elevate your style with our off-white pure silk organza saree, adorned with intricate hand embroidered floral motifs using dull gold sequins, zari, and pearls. The delicately scattered floral motifs and a gold-dori border add opulence, while crystal tassels enhance its allure.\n\nPair this stunning saree with a stylish front neckline blouse in matching handwoven cotton tissue. Featuring a deep back neckline with a charming bow design and the same hand embroidery, this ensemble exudes grace and sophistication.', 'Fabric': 'Pure Silk Organza, Handwoven Cotton Tissue', 'Embroidery': 'Sequin embroidery and gold zari flowers ehanced with pearls. The saree has a dori border with a pallu enhanced using Swarovski crystals.', 'Craft': 'Sequin Embroidery, Zari Work, Pearl Work', 'Fit': 'Fitted', 'Delivery': '6-8 Weeks'}"
hafia-saree-set-3377,Hafia Saree Set,Saree Set,"Couture, DLVRY 6-8 Weeks, Engagement, Fitted, Lime Green, Not On Sale, Nur, Pure Shimmer Georgette, Pure Silk Organza, Reception, Sagan, Wedding","Elevate your beauty with our stunning ombre green shimmer georgette saree. The saree is adorned with exquisite beige silk thread flowers embellished with glittering gold sequins, beads and lustrous pearls, and emits mesmerising beauty. Its broad scalloped border, delicately edged, is enhanced with glittering Swavrovski crystal tassels. Paired with a stunning sleeveless blouse made of pure silk organza, having a deep boat neckline, embellished with embroidered beige silk thread flowers, and wonderfully accented with gold sequins and pearls, this ensemble ensures you make a compelling statement with each step.","Pure Shimmer Georgette, Pure Silk Organza","Beige silk thread embroidery, enhanced with beads, pearls and sequins.","Silk Thread Embroidery, Zari Work, Bead Work, Sequin Embroidery",Fitted,6-8 Weeks,"{'Handle': 'hafia-saree-set-3377', 'Type': 'Saree Set', 'Title': 'Hafia Saree Set', 'description': 'Elevate your beauty with our stunning ombre green shimmer georgette saree. The saree is adorned with exquisite beige silk thread flowers embellished with glittering gold sequins, beads and lustrous pearls, and emits mesmerising beauty. Its broad scalloped border, delicately edged, is enhanced with glittering Swavrovski crystal tassels. Paired with a stunning sleeveless blouse made of pure silk organza, having a deep boat neckline, embellished with embroidered beige silk thread flowers, and wonderfully accented with gold sequins and pearls, this ensemble ensures you make a compelling statement with each step.', 'Fabric': 'Pure Shimmer Georgette, Pure Silk Organza', 'Embroidery': 'Beige silk thread embroidery, enhanced with beads, pearls and sequins.', 'Craft': 'Silk Thread Embroidery, Zari Work, Bead Work, Sequin Embroidery', 'Fit': 'Fitted', 'Delivery': '6-8 Weeks'}"
myra-cape-set-3375,Myra Cape Set,Cape Set,"Beige, Cocktail Party, Couture, DLVRY 6-8 Weeks, Engagement, Loose Fit, Not On Sale, Nur, Party Wear, Pure Silk Georgette, Pure Silk Satin, Reception","Experience timeless sophistication with this beige cape set, crafted from luxurious pure silk georgette. The cape features a touch neck, front open design, and elegant off-white satin silk fringes. Intricate hand embroidery in off-white silk thread and dull gold sequins adorn the cape, creating a refined charm. Paired with matching straight-fit pants enhanced with coordinating embroidery along the borders, this set ensures a coordinated look. A satin slip is included for comfort and a smooth silhouette.","Pure Silk Georgette, Pure Silk Satin",Aari work with off-white silk threads and dull gold sequin embroidery.,"Aari Embroidery, Sequin Embroidery",Loose Fit,6-8 Weeks,"{'Handle': 'myra-cape-set-3375', 'Type': 'Cape Set', 'Title': 'Myra Cape Set', 'description': 'Experience timeless sophistication with this beige cape set, crafted from luxurious pure silk georgette. The cape features a touch neck, front open design, and elegant off-white satin silk fringes. Intricate hand embroidery in off-white silk thread and dull gold sequins adorn the cape, creating a refined charm. Paired with matching straight-fit pants enhanced with coordinating embroidery along the borders, this set ensures a coordinated look. A satin slip is included for comfort and a smooth silhouette.', 'Fabric': 'Pure Silk Georgette, Pure Silk Satin', 'Embroidery': 'Aari work with off-white silk threads and dull gold sequin embroidery.', 'Craft': 'Aari Embroidery, Sequin Embroidery', 'Fit': 'Loose Fit', 'Delivery': '6-8 Weeks'}"
nida-angrakha-set-3374,Nida Angrakha Set,Angrakha Set,"Beige, Comfortable Fit, Couture, DLVRY 6-8 Weeks, Engagement, Not On Sale, Nur, Off-White, Pure Flat Chiffon, Pure Silk Organza, Reception, Sangeet, Wedding","Elevate your wardrobe with this exquisite long angrakha set in sophisticated beige, crafted from pure silk organza and pure flat chiffon. The angrakha features a touch neck, full sleeves, and intricate off-white organza applique work with floral jaal embroidery, sequins, and silver dabka accents.

Matching straight pants in pure silk organza with coordinating embroidery and a pure flat chiffon dupatta in an ombre blend of off-white and beige, embellished with hand-embroidered dabka and sequin borders and motifs, complete this refined ensemble.","Pure Silk Organza, Pure Flat Chiffon","Applique work with off-white silk threads and dabka, enhanced using sequins and pearls.","Appliqué Work, Sequin Embroidery, Silk Thread Embroidery, Dabka Work",Comfortable Fit,6-8 Weeks,"{'Handle': 'nida-angrakha-set-3374', 'Type': 'Angrakha Set', 'Title': 'Nida Angrakha Set', 'description': 'Elevate your wardrobe with this exquisite long angrakha set in sophisticated beige, crafted from pure silk organza and pure flat chiffon. The angrakha features a touch neck, full sleeves, and intricate off-white organza applique work with floral jaal embroidery, sequins, and silver dabka accents.\n\nMatching straight pants in pure silk organza with coordinating embroidery and a pure flat chiffon dupatta in an ombre blend of off-white and beige, embellished with hand-embroidered dabka and sequin borders and motifs, complete this refined ensemble.', 'Fabric': 'Pure Silk Organza, Pure Flat Chiffon', 'Embroidery': 'Applique work with off-white silk threads and dabka, enhanced using sequins and pearls.', 'Craft': 'Appliqué Work, Sequin Embroidery, Silk Thread Embroidery, Dabka Work', 'Fit': 'Comfortable Fit', 'Delivery': '6-8 Weeks'}"
layla-short-anarkali-set-3372,Layla Short Anarkali Set,Short Anarkali Set,"Blue, Couture, DLVRY 6-8 Weeks, Engagement, Fitted, Handwoven Cotton Tissue, Not On Sale, Nur, Peach Pink, Pure Silk Organza, Sagan, Sangeet, Wedding","Exude timeless elegance with this blue short anarkali set in pure silk organza and handwoven cotton tissue. The short anarkali features a touch neck with a keyhole detail, full sleeves, and intricate aari work with beige silk thread work and dull gold sequins. Paired with a matching handwoven cotton tissue Pakistani salwar adorned with delicate embroidery and scattered motifs. The set is completed by a peach cotton tissue dupatta with a border of gold sequins and beige silk thread work, adding a perfect contrast.","Pure Silk Organza, Handwoven Cotton Tissue",Aari work with beige silk threads and dull gold sequin embroidery.,"Aari Embroidery, Sequin Embroidery",Fitted,6-8 Weeks,"{'Handle': 'layla-short-anarkali-set-3372', 'Type': 'Short Anarkali Set', 'Title': 'Layla Short Anarkali Set', 'description': 'Exude timeless elegance with this blue short anarkali set in pure silk organza and handwoven cotton tissue. The short anarkali features a touch neck with a keyhole detail, full sleeves, and intricate aari work with beige silk thread work and dull gold sequins. Paired with a matching handwoven cotton tissue Pakistani salwar adorned with delicate embroidery and scattered motifs. The set is completed by a peach cotton tissue dupatta with a border of gold sequins and beige silk thread work, adding a perfect contrast.', 'Fabric': 'Pure Silk Organza, Handwoven Cotton Tissue', 'Embroidery': 'Aari work with beige silk threads and dull gold sequin embroidery.', 'Craft': 'Aari Embroidery, Sequin Embroidery', 'Fit': 'Fitted', 'Delivery': '6-8 Weeks'}"
